UserId,Rating,Timestamp,Snack_Sub_Name,Price,Snack Subscription ID,Calories Kcal,Protien g,Fat g,Serving Size g
AKM1MP6P0OYPR,5,1365811200,Vegan Cuts Snack Box,39.99,511189877,315,12,18,100
A2CX7LUOHB2NDG,5,1341100800,Try the World Snack,13.0,594511488,190,12,11,100
A2NWSAGRHCP8N5,1,1367193600,Universal Yums,24.5,594012015,349,8,9,100
A2WNBOD3WNDNKT,3,1374451200,Keto Krate,38.95,321732944,440,12,7,100
A1GI0U4ZRJA8WN,1,1334707200,Snakku,5.0,528881469,287,3,18,100
A1QGNMC6O1VW39,5,1397433600,Bokksu,34.95,594482127,340,7,17,100
A3J3BRHTDRFJ2G,2,1397433600,Yummy Bazaar World Sampler,24.5,594012015,440,11,13,100
A2TY0BTJOTENPG,5,1395878400,TokyoTreat,13.0,594511488,520,5,13,100
A34ATBPOK6HCHY,5,1395532800,Keto Krate,19.0,972683275,440,7,19,100
A89DO69P0XZ27,5,1395446400,Try the World Snack,9.99,439886341,190,8,15,100
AZYNQZ94U6VDB,5,1401321600,Snakku,13.0,594511488,287,5,5,100
A1DA3W4GTFXP6O,5,1405641600,Snakku,39.0,594481813,287,3,7,100
A29LPQQDG7LD5J,1,1352073600,FitSnack,38.95,321732944,240,7,8,100
AO94DHGC771SJ,5,1370131200,ZenPop,24.5,594012015,340,4,20,100
AMO214LNFCEI4,1,1290643200,Candy Club,39.0,594481813,529,3,20,100
A28B1G1MSJ6OO1,4,1280016000,Yummy Bazaar World Sampler,38.95,321732944,440,11,16,100
A3N7T0DY83Y4IG,3,1283990400,ZenPop,13.0,594511488,340,8,15,100
A1H8PY3QHMQQA0,2,1290556800,TokyoTreat,38.95,321732944,520,8,19,100
A2CPBQ5W4OGBX,2,1277078400,MunchPak,24.5,594012015,540,9,9,100
A265MKAR2WEH3Y,4,1294790400,FitSnack,9.99,558835155,240,8,9,100
A37K02NKUIT68K,5,1293235200,Try the World Snack,5.0,528881469,190,7,9,100
A2AW1SSVUIYV9Y,4,1289001600,NatureBox,22.95,899336795,229,11,17,100
A2AEHUKOV014BP,5,1284249600,FitSnack,9.95,594451647,240,9,9,100
AMLFNXUIEMN4T,1,1307836800,Yummy Bazaar World Sampler,22.95,899336795,440,12,8,100
A2O8FIJR9EBU56,4,1278547200,Love With Food,24.5,594012015,429,14,15,100
A3IQGFB959IR4P,1,1327363200,Love With Food,9.99,439886341,429,14,20,100
AYTBGUX49LF3W,4,1398470400,Universal Yums,9.95,594481902,349,8,9,100
A24QFSUU00IZ05,2,1293580800,FitSnack,19.0,972683275,240,11,19,100
A1NG5X8VYZWX0Q,1,1286582400,Love With Food,9.95,594451647,429,5,5,100
A1E4WG8HRWWK4R,5,1390867200,Snakku,39.0,594481813,287,9,17,100
A2AOEW5UGXFOOQ,5,1294790400,Snakku,34.95,594482127,287,12,15,100
A2XSWV6AQI90BR,1,1299974400,Love With Food,22.95,899336795,429,9,11,100
AR84FMFYCQCWF,1,1296691200,Snakku,39.0,594481813,287,8,19,100
A19TBA1WARJS55,2,1340496000,Candy Club,22.95,899336795,529,7,7,100
A3C5SMBSKKWNPT,5,1285113600,ZenPop,9.95,594481902,340,7,15,100
A24EV6RXELQZ63,1,1317254400,Try the World Snack,13.0,594511488,190,9,16,100
A3T6ZQONABIJSG,1,1358035200,Snakku,22.95,899336795,287,7,19,100
A132P6YSJSI5G2,2,1298851200,Candy Club,9.99,439886341,529,5,5,100
A1NQPG5IJ43HJI,3,1372550400,SnackNation,39.99,511189877,240,4,19,100
A2WOJCFAWI8VS8,5,1379376000,Try the World Snack,38.95,321732944,190,3,13,100
A22FB2WSZSXSHH,5,1348790400,Candy Club,22.95,899336795,529,9,17,100
AZQZ3STMCBG5H,5,1395705600,Candy Club,9.99,558835155,529,4,11,100
A2EGPA22UHMQXL,1,1405296000,Keto Krate,9.95,594481902,440,12,15,100
AC57CU3TF6ZMJ,5,1404172800,Universal Yums,15.5,13279300,349,4,17,100
A2YX0Z6RHA8Y2H,1,1384300800,Love With Food,5.0,528881469,429,15,13,100
A38T51B7J6QVD9,1,1377129600,Yummy Bazaar World Sampler,19.9,594477670,440,7,15,100
A1HOSS7PNC1LMU,1,1374537600,Yummy Bazaar World Sampler,38.95,321732944,440,5,11,100
A9HI77BE35VYE,1,1373932800,Vegan Cuts Snack Box,22.95,899336795,315,15,20,100
A3HFUWKSPF5QEH,5,1374278400,FitSnack,39.99,511189877,240,5,11,100
A38ETMHM9ATSF0,1,1374105600,Try the World Snack,34.95,594482127,190,5,19,100
A34O6MND17VDDH,1,1323216000,ZenPop,38.95,321732944,340,11,17,100
A3JSAGWSLY5044,3,1404432000,MunchPak,19.9,594477670,540,12,18,100
A3B12X05JZKM94,5,1405382400,NatureBox,19.9,594477670,229,5,4,100
AKZOMZCNU41GZ,4,1388620800,Candy Club,9.99,439886341,529,12,4,100
A2XTFY0GJDF3R2,4,1300233600,Candy Club,34.95,594482127,529,8,7,100
A3ILG56NE5QU37,5,1399420800,Candy Club,9.99,558835155,529,12,4,100
AOK77THMKCGXZ,4,1394496000,MunchPak,19.9,594477670,540,8,17,100
A24RBL3W5W6SAN,5,1392422400,Snakku,19.0,972683275,287,9,5,100
A2RX85Y4S27N2J,1,1397865600,FitSnack,22.95,899336795,240,7,16,100
A253JJFXQNPCOJ,4,1387584000,Snackfair,19.9,594477670,387,9,7,100
AHYURLVH267MA,5,1389225600,NatureBox,38.95,321732944,229,12,7,100
A1FXYTO11KEJ2P,4,1398297600,NatureBox,22.5,970407998,229,8,8,100
A2TKKYL3GKFS2M,5,1388102400,Keto Krate,9.99,558835155,440,8,19,100
A3F069UFW04K1E,5,1392249600,Yummy Bazaar World Sampler,39.99,511189877,440,7,11,100
A3HQ8RXUMJ2Y58,5,1400976000,NatureBox,34.95,594482127,229,8,18,100
A2MNKBHPMBB0EA,5,1390003200,Love With Food,22.5,970407998,429,12,15,100
A3HGTTFIDLCWDJ,4,1396483200,NatureBox,38.95,321732944,229,11,11,100
AYM7NJTTX3M0L,5,1393200000,Bokksu,9.99,558835155,340,8,16,100
A2PL24SVISXZM9,5,1392422400,Universal Yums,19.0,972683275,349,8,7,100
A3I1C8WM8DLSMM,5,1395964800,Keto Krate,13.0,594511488,440,12,18,100
A29LNVZLBG0IYN,5,1402876800,SnackNation,9.99,558835155,240,5,19,100
A2CP4GY6XAWIII,5,1403568000,Try the World Snack,9.99,558835155,190,12,19,100
A1UMFN4RKU451R,5,1359244800,FitSnack,9.99,439886341,240,12,16,100
A3T3XKC7H5ACI1,5,1401235200,NatureBox,9.99,558835155,229,12,18,100
A1NQNJ3EAZ6CMZ,4,1360108800,SnackNation,9.95,594481902,240,5,7,100
A34TPQUVSQXXPX,5,1380672000,NatureBox,9.99,439886341,229,11,9,100
A2B4F6LP0ZLI8E,3,1398556800,Snackfair,22.5,970407998,387,9,16,100
A1RKH6803HVOQL,5,1365379200,NatureBox,15.5,13279300,229,15,11,100
A3ZNVCQCG57AY,5,1359331200,Keto Krate,22.95,899336795,440,15,11,100
A1HM74IXWXQ5D8,5,1392854400,Bokksu,9.95,594451647,340,11,9,100
A2DUI0YVE1DZ48,5,1388016000,Snakku,9.95,594451647,287,4,18,100
AH3LYMIBZ6DKF,5,1380672000,Vegan Cuts Snack Box,24.5,594012015,315,12,20,100
AWA0CM7TY98QX,5,1382313600,Yummy Bazaar World Sampler,9.99,439886341,440,7,11,100
A244IAP7UBVHH6,5,1389139200,ZenPop,22.5,970407998,340,7,5,100
A3E7PG9CHDBICA,5,1403827200,Keto Krate,19.0,972683275,440,9,13,100
A2JXAZZI9PHK9Z,5,1388707200,Vegan Cuts Snack Box,19.9,594477670,315,11,19,100
A1RTWWRHVIVWQW,5,1404691200,TokyoTreat,15.5,13279300,520,9,18,100
A2P5U7BDKKT7FW,2,1398556800,Vegan Cuts Snack Box,22.5,970407998,315,7,4,100
A262D8GC5XRU31,5,1400025600,Bokksu,19.9,594477670,340,15,9,100
AAZ084UMH8VZ2,5,1399161600,Candy Club,9.99,558835155,529,5,5,100
A3M122DYN9L5N8,1,1388707200,SnackNation,22.5,970407998,240,11,9,100
A3S0RV5ZQ37538,4,1399075200,FitSnack,9.95,594481902,240,7,11,100
A150Y5KRN7FWJJ,5,1384646400,Bokksu,38.95,321732944,340,7,9,100
AEZ3CR6BKIROJ,4,1405036800,NatureBox,15.5,13279300,229,9,4,100
A3BY5KCNQZXV5U,5,1390176000,FitSnack,9.99,558835155,240,12,18,100
A1JIOBEWHVV8MC,5,1393545600,MunchPak,9.99,439886341,540,12,17,100
A2OJRZGW5YVGNS,5,1384905600,TokyoTreat,39.0,594481813,520,11,4,100
A14KUMEJ094IZ3,5,1396396800,Keto Krate,9.95,594451647,440,7,19,100
A212UCG62RO8JF,5,1389657600,NatureBox,24.5,594012015,229,4,5,100
A18U7ZDE2VHD01,5,1361232000,Try the World Snack,19.0,972683275,190,5,16,100
A39J1PTX1KAL66,5,1388361600,Vegan Cuts Snack Box,19.9,594477670,315,9,9,100
A2IEJQ8754BMSI,4,1348185600,MunchPak,9.95,594451647,540,5,20,100
APGCN777AZIYR,4,1389484800,TokyoTreat,9.99,558835155,520,11,9,100
A1UMV2TNJ96LMU,5,1390003200,Love With Food,5.0,528881469,429,11,7,100
A7S2B0I67WNWB,4,1397606400,Universal Yums,34.95,594482127,349,3,15,100
A3HICVLF4PFFMN,5,1399248000,MunchPak,9.95,594481902,540,8,19,100
A3HGP1YI7G80HA,5,1390176000,Love With Food,19.9,594477670,429,8,13,100
A2SRW2W1GXYKQZ,5,1403827200,Vegan Cuts Snack Box,5.0,528881469,315,14,16,100
A3S51KDTK4P2JP,4,1402876800,Snackfair,22.5,970407998,387,7,9,100
A2ATRYXF83T83K,5,1399766400,Love With Food,39.99,511189877,429,9,5,100
A5MJPMMDAA1RQ,5,1395964800,FitSnack,34.95,594482127,240,9,5,100
A1RGYV1ASMTMSE,1,1390003200,SnackNation,39.0,594481813,240,9,7,100
ANSKSPEEAKY7S,5,1372032000,Universal Yums,34.95,594482127,349,9,19,100
A2QBZA4S1ROX9Q,3,1369440000,Snakku,5.0,528881469,287,7,11,100
A2FT4NPBE189NB,5,1402790400,MunchPak,19.9,594477670,540,8,20,100
AEFUHKIXACWJW,5,1383868800,ZenPop,24.5,594012015,340,12,13,100
ANY6JUFM0GH8U,5,1394323200,FitSnack,13.0,594511488,240,12,5,100
A29AHNG4TUERKG,1,1375401600,ZenPop,15.5,13279300,340,15,5,100
AT09WGFUM934H,3,1377907200,Snackfair,9.99,558835155,387,12,4,100
A1JB5VD57VRYAX,5,1389830400,Vegan Cuts Snack Box,9.99,558835155,315,7,19,100
A22055Y81HHDQ9,1,1384732800,Try the World Snack,9.99,439886341,190,12,8,100
A2CVNEE0H2F1YE,4,1385424000,SnackNation,19.9,594477670,240,12,19,100
ASLRVLGGF5F2J,5,1404864000,Candy Club,22.5,970407998,529,7,13,100
A2TSQNO5HXCYN2,5,1395273600,FitSnack,22.5,970407998,240,8,16,100
A1G0KYO61NFVTF,5,1400803200,NatureBox,22.5,970407998,229,12,15,100
A2OC1UK7VMBLOT,4,1398643200,MunchPak,9.95,594481902,540,4,13,100
A260COKJRRVS3U,5,1401840000,Snackfair,19.9,594477670,387,7,13,100
A1T8TP4OHT5T13,4,1399420800,FitSnack,19.9,594477670,240,9,7,100
AGAKHE014LQFU,3,1379462400,Yummy Bazaar World Sampler,19.0,972683275,440,11,19,100
A3NU787GB0X67S,5,1404950400,NatureBox,9.99,558835155,229,8,13,100
AY0BL2JD0GAFT,5,1399248000,Bokksu,34.95,594482127,340,3,17,100
A2UVFEZ7UDBRAA,5,1368576000,Candy Club,38.95,321732944,529,4,17,100
A2332ANCYJS96P,5,1398643200,Candy Club,22.95,899336795,529,4,9,100
A1S6B5QFWGVL5U,4,1372291200,Yummy Bazaar World Sampler,24.5,594012015,440,7,19,100
A399VAWM09IRH9,5,1403827200,Bokksu,15.5,13279300,340,7,4,100
AMP3SRCVG8VED,5,1403654400,Try the World Snack,24.5,594012015,190,7,19,100
ANFUGJ8Z9EMQS,5,1398384000,Keto Krate,22.5,970407998,440,15,16,100
A2N3PEHL6QY8U8,5,1398816000,NatureBox,39.0,594481813,229,12,8,100
A2KK9GUTOXMB43,5,1399075200,Snackfair,24.5,594012015,387,12,16,100
A1G5M9B068B6N4,5,1370649600,SnackNation,38.95,321732944,240,5,15,100
A107S4MT25VXQ5,5,1399507200,Yummy Bazaar World Sampler,39.99,511189877,440,11,13,100
A1IIGG5OMZKNYP,2,1382832000,Snackfair,19.9,594477670,387,12,19,100
A3RV0ZUIEOM0TX,5,1384473600,Love With Food,9.99,439886341,429,12,17,100
AAWFWZ2K9WTV1,5,1395619200,Yummy Bazaar World Sampler,34.95,594482127,440,9,17,100
A2J3WVIQ5LO1O7,4,1400284800,Snackfair,19.0,972683275,387,12,4,100
A1GI134K2EVPEM,5,1401235200,FitSnack,15.5,13279300,240,9,7,100
A37ASPPZ778F9O,1,1403913600,Snackfair,13.0,594511488,387,12,7,100
AWL0JAXP3LQWJ,4,1390176000,TokyoTreat,39.99,511189877,520,9,13,100
A29FNXHYVA2W4G,5,1398124800,Yummy Bazaar World Sampler,39.0,594481813,440,8,5,100
A32JHAQPVSGHUD,5,1396828800,Keto Krate,5.0,528881469,440,3,19,100
A2C8SNQ59NMJ1,5,1389916800,Love With Food,39.0,594481813,429,8,18,100
AUMPN10O0S5WE,4,1393372800,Vegan Cuts Snack Box,9.99,439886341,315,9,5,100
A1APJUGO70YI8,5,1398988800,Snackfair,19.0,972683275,387,12,8,100
A3EI9TX2A4MUSZ,4,1386720000,Candy Club,13.0,594511488,529,12,8,100
